listing_id,YearMonth,number,score
5589,2017-4,3,0.8923666666666668
5589,2017-5,1,0.9144
5589,2017-7,1,0.8977
5589,2017-9,2,0.8499
5589,2018-1,1,0.9354
5589,2018-10,1,0.9669
5589,2018-11,2,0.94665
5589,2018-12,1,0.9427
5589,2018-2,1,0.6249
5589,2018-3,1,0.9392
5589,2018-5,1,-0.128
5589,2018-6,3,0.8560333333333334
5589,2018-7,2,0.9511000000000001
5589,2018-8,1,0.9307
5589,2018-9,1,0.9401
5589,2019-10,1,0.784
5589,2019-12,1,0.9349
5589,2019-2,2,0.83215
5589,2019-3,3,0.8969999999999999
5589,2019-4,2,0.8690500000000001
5589,2019-5,2,0.9041
5589,2019-6,1,0.9509
5589,2019-9,1,0.9692
5589,2020-1,1,0.6705
7103,2010-10,3,0.8835666666666667
7103,2010-11,2,0.9871
7103,2010-12,2,0.96715
7103,2010-4,1,0.705
7103,2010-5,2,0.9712000000000001
7103,2010-6,1,0.9164
7103,2010-7,2,0.9736
7103,2010-8,2,0.9517
7103,2010-9,4,0.8924000000000001
7103,2011-1,2,0.8886499999999999
7103,2011-10,1,0.807
7103,2011-4,2,0.94475
7103,2011-5,3,0.8772000000000001
7103,2011-6,4,0.9252750000000001
7103,2011-7,1,0.9933
7103,2011-8,2,0.98935
7103,2011-9,1,0.959
7103,2012-12,2,0.9875499999999999
7103,2012-4,2,0.8571500000000001
7103,2012-5,2,0.98525
7103,2012-6,3,0.9644666666666666
7103,2012-7,3,0.6596666666666667
7103,2012-9,2,0.9465
7103,2013-1,1,0.9865
7103,2013-10,2,0.9298500000000001
7103,2013-3,1,0.9173
7103,2013-4,1,0.9727
7103,2013-5,1,0.9884
7103,2013-8,1,0.9916
7103,2013-9,1,0.9272
7103,2014-10,2,0.96305
7103,2014-3,2,0.97185
7103,2014-7,1,0.9697
7103,2015-10,2,0.84625
7103,2015-12,1,0.9931
7103,2015-4,1,0.9807
7103,2015-5,1,0.0
7103,2015-6,3,0.9692666666666666
7103,2015-7,1,0.9389
7103,2015-8,3,0.7684333333333333
7103,2016-12,1,0.8779
7103,2016-2,1,0.7351
7103,2016-3,1,0.984
7103,2016-4,1,-0.7701
7103,2016-5,1,0.9515
7103,2016-6,1,0.7159
7103,2016-7,2,0.85665
7103,2019-1,3,0.9197666666666667
7103,2019-10,9,0.9380111111111111
7103,2019-11,13,0.8879846153846155
7103,2019-12,5,0.80406
7103,2019-2,1,0.9766
7103,2019-3,5,0.8799199999999999
7103,2019-4,11,0.9421272727272729
7103,2019-5,12,0.8062583333333334
7103,2019-6,12,0.8130916666666664
7103,2019-7,6,0.8030833333333334
7103,2019-8,9,0.7593111111111112
7103,2019-9,5,0.89534
7103,2020-1,12,0.7234166666666666
7103,2020-2,5,0.93452
9097,2009-10,2,0.9738
9097,2009-12,2,0.761
9097,2010-1,1,0.8481
9097,2010-2,3,0.8439333333333333
9097,2010-3,1,0.9319
9097,2010-4,1,0.9678
9097,2010-6,2,0.9187000000000001
9097,2010-7,1,0.34
9097,2010-8,2,0.4174
9097,2010-9,1,0.9605
9097,2011-12,1,0.8516
9097,2011-2,1,0.9563
9097,2011-3,2,0.97585
9097,2011-4,1,0.9766
9097,2011-5,2,0.9409
9097,2011-8,1,0.9565
9097,2011-9,2,0.9085000000000001
9097,2012-1,1,0.945
9097,2012-2,1,0.9273
9097,2012-3,1,0.979
9097,2012-4,1,0.8591
9097,2012-5,3,0.9509
9097,2012-9,1,0.9885
9097,2014-1,1,0.9778
9097,2014-4,2,0.92445
9097,2014-7,1,0.9744
9097,2015-10,2,0.9430000000000001
9097,2015-11,1,0.8625
9097,2015-3,1,0.9667
9097,2016-1,2,0.923
9097,2016-10,2,0.9388
9097,2016-11,2,0.8853
9097,2016-3,2,0.9651
9097,2016-4,1,0.9741
9097,2016-6,1,0.9726
9097,2016-8,1,0.9831
9097,2016-9,2,0.9295
9097,2017-1,1,0.9334
9097,2017-10,2,0.74185
9097,2017-11,1,0.9714
9097,2017-3,5,0.9361
9097,2017-4,3,0.8182333333333333
9097,2017-5,5,0.9184599999999999
9097,2017-6,5,0.69266
9097,2017-7,4,0.420275
9097,2017-8,1,-0.1779
9097,2017-9,2,0.7173
9097,2018-1,2,0.10010000000000002
9097,2018-12,1,0.9053
9097,2018-2,1,0.5859
9097,2018-3,2,0.9652000000000001
9097,2018-4,1,0.4215
9097,2018-5,3,0.7020666666666666
9097,2018-6,2,0.89945
9097,2018-9,1,0.9403
9097,2019-1,2,0.6411
9097,2019-10,8,0.84375
9097,2019-3,1,0.9823
9097,2019-5,1,0.8313
9097,2019-6,1,0.9749
9097,2019-7,1,0.8797
9097,2019-9,1,0.8687
9641,2010-10,2,0.9415
9641,2010-11,1,0.9967
9641,2010-3,1,0.9217
9641,2010-4,3,0.9305666666666667
9641,2010-7,2,0.71515
9641,2011-3,1,0.9744
9641,2011-5,1,0.9727
9641,2012-10,1,0.9748
9641,2012-12,1,0.9955
9641,2012-3,1,0.9571
9641,2012-4,1,0.9231
9641,2012-5,1,0.9442
9641,2012-6,2,0.7948999999999999
9641,2012-7,2,0.96505
9641,2013-12,1,0.5974
9641,2013-2,1,0.5854
9641,2013-6,2,0.9551000000000001
9641,2013-7,1,0.9807
9641,2013-8,1,0.6649
9641,2014-1,4,0.9332
9641,2014-10,4,0.912575
9641,2014-11,3,0.9585333333333333
9641,2014-12,1,0.9269
9641,2014-5,5,0.9255799999999998
9641,2015-1,3,0.9346333333333332
9641,2015-10,1,0.8957
9641,2015-11,2,0.86275
9641,2015-12,1,0.965
9641,2015-2,1,0.5859
9641,2015-3,3,0.8636666666666667
9641,2015-4,5,0.93688
9641,2015-5,3,0.9478666666666666
9641,2015-6,3,0.8033666666666667
9641,2015-8,2,0.9388000000000001
9641,2015-9,2,0.92155
9641,2016-1,1,0.9505
9641,2016-10,4,0.93965
9641,2016-11,2,0.9229
9641,2016-12,1,0.7335
9641,2016-2,3,0.9262333333333334
9641,2016-3,1,0.9839
9641,2016-4,2,0.98185
9641,2016-5,6,0.9097666666666666
9641,2016-6,3,0.9623666666666667
9641,2016-8,1,0.9484
9641,2017-1,2,0.9310499999999999
9641,2017-10,4,0.7409749999999999
9641,2017-2,1,0.9311
9641,2017-3,1,0.9882
9641,2017-5,3,0.9568333333333333
9641,2017-6,4,0.8878250000000001
9641,2017-9,1,0.9842
9641,2018-1,1,0.9405
9641,2018-10,5,0.6687200000000001
9641,2018-11,2,0.93485
9641,2018-12,1,0.8066
9641,2018-2,1,0.9712
9641,2018-3,4,0.913875
9641,2018-4,4,0.6812
9641,2018-5,3,0.47146666666666665
9641,2018-9,1,0.8805
9641,2019-1,2,0.8685
9641,2019-10,1,0.7906
9641,2019-2,1,0.9599
9641,2019-3,3,0.8687999999999999
9641,2019-4,3,0.9012666666666668
9641,2019-5,3,0.8835333333333333
9641,2019-6,4,0.91805
9641,2019-7,1,0.8316
9641,2019-8,1,0.9871
9641,2019-9,1,0.0
9641,2020-1,1,0.7347
11785,2010-1,2,0.96305
11785,2010-10,7,0.8204428571428571
11785,2010-11,1,0.9775
11785,2010-12,1,0.886
11785,2010-3,2,0.9749000000000001
11785,2010-4,5,0.8890399999999999
11785,2010-5,2,0.97515
11785,2010-6,2,0.93845
11785,2010-7,4,0.9493
11785,2010-8,3,0.9757666666666666
11785,2011-10,9,0.9354777777777777
11785,2011-11,6,0.9394666666666666
11785,2011-12,3,0.9550666666666666
11785,2011-2,3,0.9057
11785,2011-3,5,0.92208
11785,2011-4,5,0.90488
11785,2011-5,4,0.9279999999999999
11785,2011-6,1,0.647
11785,2011-7,2,0.9665
11785,2011-8,5,0.86642
11785,2011-9,3,0.9285666666666667
11785,2012-1,5,0.9727400000000002
11785,2012-10,3,0.9486
11785,2012-12,2,0.9572
11785,2012-2,1,0.991
11785,2012-3,4,0.958325
11785,2012-4,5,0.96756
11785,2012-5,4,0.880575
11785,2012-6,2,0.97045
11785,2012-7,5,0.8931000000000001
11785,2012-8,7,0.9276857142857143
11785,2013-1,5,0.95746
11785,2013-10,4,0.9141250000000001
11785,2013-11,3,0.9341
11785,2013-12,3,0.9820666666666668
11785,2013-2,1,-0.7824
11785,2013-3,2,0.9501
11785,2013-4,4,0.681125
11785,2013-5,5,0.9093
11785,2013-6,3,0.9548666666666668
11785,2013-7,6,0.9602833333333334
11785,2013-8,3,0.9189333333333333
11785,2013-9,5,0.9676
11785,2014-1,1,0.6908
11785,2014-10,6,0.89595
11785,2014-11,3,0.8921
11785,2014-12,1,0.9752
11785,2014-3,4,0.919275
11785,2014-4,3,0.5649333333333334
11785,2014-5,7,0.9065000000000001
11785,2014-6,4,0.774625
11785,2014-7,6,0.9272833333333331
11785,2014-8,6,0.8634166666666667
11785,2014-9,1,0.8885
11785,2015-1,1,0.8619
11785,2015-10,6,0.9468166666666665
11785,2015-11,2,0.88985
11785,2015-12,1,0.9777
11785,2015-2,6,0.8402166666666666
11785,2015-3,4,0.9505999999999999
11785,2015-4,6,0.9445000000000001
11785,2015-5,2,0.8554999999999999
11785,2015-6,4,0.8927749999999999
11785,2015-7,5,0.9117199999999999
11785,2015-8,5,0.70672
11785,2015-9,5,0.88534
11785,2016-1,2,0.6503
11785,2016-10,4,0.667475
11785,2016-11,4,0.7851250000000001
11785,2016-12,3,0.7209
11785,2016-3,4,0.5791
11785,2016-4,1,0.9911
11785,2016-5,3,0.8896333333333333
11785,2016-6,5,0.9173600000000001
11785,2016-8,3,0.6276333333333334
11785,2016-9,3,0.7994666666666665
11785,2017-1,2,0.5687
11785,2017-10,3,0.9490333333333334
11785,2017-11,1,0.8625
11785,2017-12,2,0.92995
11785,2017-3,2,0.8083
11785,2017-4,3,0.9163333333333333
11785,2017-5,2,0.91035
11785,2017-6,5,0.77376
11785,2017-7,6,0.5671666666666666
11785,2017-8,1,0.9001
11785,2017-9,2,0.37125
11785,2018-1,1,0.0
11785,2018-10,5,0.75104
11785,2018-11,2,0.9126
11785,2018-12,1,0.9324
11785,2018-2,1,0.9089
11785,2018-3,2,0.86485
11785,2018-4,2,0.6895
11785,2018-5,3,0.8868666666666667
11785,2018-6,2,0.73255
